participant,gambno,opta,optb,pa1,pa2,pb1,pb2,type,choice,group,sex,wtpamount_opta,wtpamount_optb,oa1,ob1,CV.A,CV.B,CVhigh,CVdiff,CVchoice,EV.A,EV.B,EVhigh,EVdiff,EVlogdiff,EVchoice
55a28851fdf99b602e6b05dd,10,Fever,Itching,0.71,0.29,0.96,0.04,medchoice,1,old,Female,-20,-7,-20,-7,2.408318916,0.529150262,1,1.879168654,1,-14.2,-6.72,0,-7.48,2.012232792,0
55a28851fdf99b602e6b05dd,10,Fever,Itching,0.71,0.29,0.96,0.04,monchoice,0,old,Female,-20,-7,-20,-7,2.408319,0.5291503,1,1.879169,0,-14.2,-6.72,0,-7.48,2.012233,1
55a28851fdf99b602e6b05dd,11,Depression,Diarrhea,0.19,0.81,0.98,0.02,medchoice,0,old,Female,-35,-5,-35,-5,5.324471805,0.316227766,1,5.008244039,0,-6.65,-4.9,0,-1.75,0.559615788,1
55a28851fdf99b602e6b05dd,11,Depression,Diarrhea,0.19,0.81,0.98,0.02,monchoice,1,old,Female,-35,-5,-35,-5,5.324472,0.3162278,1,5.008244,1,-6.65,-4.9,0,-1.75,0.5596158,0
55a28851fdf99b602e6b05dd,12,Insomnia,Memory Loss,0.94,0.06,0.05,0.95,medchoice,1,old,Female,-10,-75,-10,-75,0.774596669,8.440971508,0,-7.666374839,0,-9.4,-3.75,0,-5.65,1.731655545,0
55a28851fdf99b602e6b05dd,12,Insomnia,Memory Loss,0.94,0.06,0.05,0.95,monchoice,0,old,Female,-10,-75,-10,-75,0.7745967,8.440972,0,-7.666375,1,-9.4,-3.75,0,-5.65,1.731656,1
55a28851fdf99b602e6b05dd,13,Insomnia,Memory Loss,0.99,0.01,0.25,0.75,medchoice,1,old,Female,-10,-75,-10,-75,0.316227766,7.5,0,-7.183772234,0,-9.9,-18.75,1,8.85,2.180417459,1
55a28851fdf99b602e6b05dd,13,Insomnia,Memory Loss,0.99,0.01,0.25,0.75,monchoice,0,old,Female,-10,-75,-10,-75,0.3162278,7.5,0,-7.183772,1,-9.9,-18.75,1,8.85,2.180417,0
55a28851fdf99b602e6b05dd,14,Diarrhea,Memory Loss,0.98,0.02,0.26,0.74,medchoice,1,old,Female,-5,-75,-5,-75,0.316227766,7.449832213,0,-7.133604447,0,-4.9,-19.5,1,14.6,2.681021529,1
55a28851fdf99b602e6b05dd,14,Diarrhea,Memory Loss,0.98,0.02,0.26,0.74,monchoice,0,old,Female,-5,-75,-5,-75,0.3162278,7.449832,0,-7.133604,1,-4.9,-19.5,1,14.6,2.681022,0
55a28851fdf99b602e6b05dd,15,Insomnia,Slurred Speech,0.55,0.45,0.97,0.03,medchoice,1,old,Female,-10,-45,-10,-45,2.121320344,1.161895004,1,0.95942534,1,-5.5,-43.65,1,38.15,3.641525758,1
55a28851fdf99b602e6b05dd,15,Insomnia,Slurred Speech,0.55,0.45,0.97,0.03,monchoice,1,old,Female,-10,-45,-10,-45,2.12132,1.161895,1,0.9594253,1,-5.5,-43.65,1,38.15,3.641526,1
55a28851fdf99b602e6b05dd,16,Insomnia,Impaired Balance,0.65,0.35,0.98,0.02,medchoice,1,old,Female,-10,-50,-10,-50,1.870828693,1,1,0.870828693,1,-6.5,-49,1,42.5,3.749504076,1
55a28851fdf99b602e6b05dd,16,Insomnia,Impaired Balance,0.65,0.35,0.98,0.02,monchoice,1,old,Female,-10,-50,-10,-50,1.870829,1,1,0.8708287,1,-6.5,-49,1,42.5,3.749504,1
55a28851fdf99b602e6b05dd,17,Tremor,Slurred Speech,0.63,0.37,0.97,0.03,medchoice,1,old,Female,-40,-45,-40,-45,3.847076812,1.161895004,1,2.685181808,1,-25.2,-43.65,1,18.45,2.91506437,1
55a28851fdf99b602e6b05dd,17,Tremor,Slurred Speech,0.63,0.37,0.97,0.03,monchoice,1,old,Female,-40,-45,-40,-45,3.847077,1.161895,1,2.685182,1,-25.2,-43.65,1,18.45,2.915064,1
55a28851fdf99b602e6b05dd,18,Flatulence,Fatigue,0.94,0.06,0.52,0.48,medchoice,1,old,Female,-3,-15,-3,-15,0.424264069,2.683281573,0,-2.259017504,0,-2.82,-7.8,1,4.98,1.605429891,1
55a28851fdf99b602e6b05dd,18,Flatulence,Fatigue,0.94,0.06,0.52,0.48,monchoice,1,old,Female,-3,-15,-3,-15,0.4242641,2.683282,0,-2.259018,0,-2.82,-7.8,1,4.98,1.60543,1
55a28851fdf99b602e6b05dd,19,Fever,Tremor,0.3,0.7,0.98,0.02,medchoice,1,old,Female,-20,-40,-20,-40,3.741657387,0.894427191,1,2.847230196,1,-6,-39.2,1,33.2,3.502549876,1
55a28851fdf99b602e6b05dd,19,Fever,Tremor,0.3,0.7,0.98,0.02,monchoice,1,old,Female,-20,-40,-20,-40,3.741657,0.8944272,1,2.84723,1,-6,-39.2,1,33.2,3.50255,1
55a28851fdf99b602e6b05dd,20,Impaired Balance,Fever,0.98,0.02,0.15,0.85,medchoice,0,old,Female,-50,-20,-50,-20,1,4.123105626,0,-3.123105626,1,-49,-3,0,-46,3.828641396,1
55a28851fdf99b602e6b05dd,20,Impaired Balance,Fever,0.98,0.02,0.15,0.85,monchoice,0,old,Female,-50,-20,-50,-20,1,4.123106,0,-3.123106,1,-49,-3,0,-46,3.828641,1
55a28851fdf99b602e6b05dd,21,Flatulence,Slurred Speech,0.6,0.4,0.97,0.03,medchoice,1,old,Female,-3,-45,-3,-45,1.095445115,1.161895004,0,-0.066449889,0,-1.8,-43.65,1,41.85,3.734091797,1
55a28851fdf99b602e6b05dd,21,Flatulence,Slurred Speech,0.6,0.4,0.97,0.03,monchoice,1,old,Female,-3,-45,-3,-45,1.095445,1.161895,0,-0.06644989,0,-1.8,-43.65,1,41.85,3.734092,1
55a28851fdf99b602e6b05dd,22,Depression,Hallucinations,0.81,0.19,0.98,0.02,medchoice,1,old,Female,-35,-70,-35,-70,2.578759392,1.183215957,1,1.395543435,1,-28.35,-68.6,1,40.25,3.695110004,1
55a28851fdf99b602e6b05dd,22,Depression,Hallucinations,0.81,0.19,0.98,0.02,monchoice,1,old,Female,-35,-70,-35,-70,2.578759,1.183216,1,1.395543,1,-28.35,-68.6,1,40.25,3.69511,1
55a28851fdf99b602e6b05dd,23,Insomnia,Impaired Balance,0.006,0.994,0.09,0.91,medchoice,1,old,Female,-10,-50,-10,-50,3.152776554,6.745368782,0,-3.592592228,0,-0.06,-4.5,1,4.44,1.490654376,1
55a28851fdf99b602e6b05dd,23,Insomnia,Impaired Balance,0.006,0.994,0.09,0.91,monchoice,1,old,Female,-10,-50,-10,-50,3.152777,6.745369,0,-3.592592,0,-0.06,-4.5,1,4.44,1.490654,1
55a28851fdf99b602e6b05dd,24,Diarrhea,Slurred Speech,0.005,0.995,0.1,0.9,medchoice,1,old,Female,-5,-45,-5,-45,2.230470802,6.363961031,0,-4.133490228,0,-0.025,-4.5,1,4.475,1.498506352,1
55a28851fdf99b602e6b05dd,24,Diarrhea,Slurred Speech,0.005,0.995,0.1,0.9,monchoice,1,old,Female,-5,-45,-5,-45,2.230471,6.363961,0,-4.13349,0,-0.025,-4.5,1,4.475,1.498506,1
55a28851fdf99b602e6b05dd,25,Itching,Hallucinations,0.03,0.97,0.001,0.999,medchoice,1,old,Female,-7,-70,-7,-70,2.605762844,8.362415919,0,-5.756653075,0,-0.21,-0.07,0,-0.14,-1.966112856,0
55a28851fdf99b602e6b05dd,25,Itching,Hallucinations,0.03,0.97,0.001,0.999,monchoice,0,old,Female,-7,-70,-7,-70,2.605763,8.362416,0,-5.756653,1,-0.21,-0.07,0,-0.14,-1.966113,1
55a28851fdf99b602e6b05dd,26,Slurred Speech,Tremor,0.02,0.98,0.001,0.999,medchoice,0,old,Female,-45,-40,-45,-40,6.640783086,6.321392252,1,0.319390835,0,-0.9,-0.04,0,-0.86,-0.15082289,1
55a28851fdf99b602e6b05dd,26,Slurred Speech,Tremor,0.02,0.98,0.001,0.999,monchoice,0,old,Female,-45,-40,-45,-40,6.640783,6.321392,1,0.3193908,0,-0.9,-0.04,0,-0.86,-0.1508229,1
55a28851fdf99b602e6b05dd,27,Flatulence,Fatigue,0.01,0.99,0.001,0.999,medchoice,1,old,Female,-3,-15,-3,-15,1.723368794,3.87104637,0,-2.147677576,0,-0.03,-0.015,0,-0.015,-4.199705078,0
55a28851fdf99b602e6b05dd,27,Flatulence,Fatigue,0.01,0.99,0.001,0.999,monchoice,0,old,Female,-3,-15,-3,-15,1.723369,3.871046,0,-2.147678,1,-0.03,-0.015,0,-0.015,-4.199705,1
55a28851fdf99b602e6b05dd,28,Fever,Memory Loss,0.003,0.997,0.04,0.96,medchoice,1,old,Female,-20,-75,-20,-75,4.465422712,8.485281374,0,-4.019858662,0,-0.06,-3,1,2.94,1.078409581,1
55a28851fdf99b602e6b05dd,28,Fever,Memory Loss,0.003,0.997,0.04,0.96,monchoice,1,old,Female,-20,-75,-20,-75,4.465423,8.485281,0,-4.019859,0,-0.06,-3,1,2.94,1.07841,1
55a28851fdf99b602e6b05dd,29,Slurred Speech,Hallucinations,0.89,0.11,0.01,0.99,medchoice,0,old,Female,-45,-70,-45,-70,2.224859546,8.324662155,0,-6.099802609,1,-40.05,-0.7,0,-39.35,3.672495975,1
55a28851fdf99b602e6b05dd,29,Slurred Speech,Hallucinations,0.89,0.11,0.01,0.99,monchoice,0,old,Female,-45,-70,-45,-70,2.22486,8.324662,0,-6.099803,1,-40.05,-0.7,0,-39.35,3.672496,1
55a28851fdf99b602e6b05dd,30,Flatulence,Fatigue,0.04,0.96,0.003,0.997,medchoice,0,old,Female,-3,-15,-3,-15,1.697056275,3.867169508,0,-2.170113233,1,-0.12,-0.045,0,-0.075,-2.590267165,1
55a28851fdf99b602e6b05dd,30,Flatulence,Fatigue,0.04,0.96,0.003,0.997,monchoice,0,old,Female,-3,-15,-3,-15,1.697056,3.86717,0,-2.170113,1,-0.12,-0.045,0,-0.075,-2.590267,1
55a28851fdf99b602e6b05dd,31,Tremor,Fever,0.91,0.09,0.03,0.97,medchoice,0,old,Female,-40,-20,-40,-20,1.897366596,4.404543109,0,-2.507176513,1,-36.4,-0.6,0,-35.8,3.577947893,1
55a28851fdf99b602e6b05dd,31,Tremor,Fever,0.91,0.09,0.03,0.97,monchoice,0,old,Female,-40,-20,-40,-20,1.897367,4.404543,0,-2.507177,1,-36.4,-0.6,0,-35.8,3.577948,1
55a28851fdf99b602e6b05dd,32,Slurred Speech,Flatulence,0.045,0.955,0.006,0.994,medchoice,0,old,Female,-45,-3,-45,-3,6.555532015,1.726846837,1,4.828685178,0,-2.025,-0.018,0,-2.007,0.69664107,1
55a28851fdf99b602e6b05dd,32,Slurred Speech,Flatulence,0.045,0.955,0.006,0.994,monchoice,0,old,Female,-45,-3,-45,-3,6.555532,1.726847,1,4.828685,0,-2.025,-0.018,0,-2.007,0.6966411,1
55a28851fdf99b602e6b05dd,33,Memory Loss,Itching,0.003,0.997,0.02,0.98,medchoice,0,old,Female,-75,-7,-75,-7,8.647253899,2.619160171,1,6.028093729,0,-0.225,-0.14,0,-0.085,-2.465104022,1
55a28851fdf99b602e6b05dd,33,Memory Loss,Itching,0.003,0.997,0.02,0.98,monchoice,0,old,Female,-75,-7,-75,-7,8.647254,2.61916,1,6.028094,0,-0.225,-0.14,0,-0.085,-2.465104,1
55a28851fdf99b602e6b05dd,34,Diarrhea,Depression,0.79,0.21,0.015,0.985,medchoice,0,old,Female,-5,-35,-5,-35,1.024695077,5.871541535,0,-4.846846459,1,-3.95,-0.525,0,-3.425,1.231101472,1
55a28851fdf99b602e6b05dd,34,Diarrhea,Depression,0.79,0.21,0.015,0.985,monchoice,0,old,Female,-5,-35,-5,-35,1.024695,5.871542,0,-4.846846,1,-3.95,-0.525,0,-3.425,1.231101,1
55a28851fdf99b602e6b05dd,35,Itching,Insomnia,0.003,0.997,0.095,0.905,medchoice,1,old,Female,-7,-10,-7,-10,2.641779703,3.008321791,0,-0.366542088,0,-0.021,-0.95,1,0.929,-0.07364654,1
55a28851fdf99b602e6b05dd,35,Itching,Insomnia,0.003,0.997,0.095,0.905,monchoice,1,old,Female,-7,-10,-7,-10,2.64178,3.008322,0,-0.3665421,0,-0.021,-0.95,1,0.929,-0.07364654,1
55a28851fdf99b602e6b05dd,36,Depression,Fatigue,0.006,0.994,0.65,0.35,medchoice,1,old,Female,-35,-15,-35,-15,5.898304841,2.291287847,1,3.607016994,1,-0.21,-9.75,1,9.54,2.255493485,1
55a28851fdf99b602e6b05dd,36,Depression,Fatigue,0.006,0.994,0.65,0.35,monchoice,1,old,Female,-35,-15,-35,-15,5.898305,2.291288,1,3.607017,1,-0.21,-9.75,1,9.54,2.255493,1
55a28851fdf99b602e6b05dd,37,Fatigue,Hallucinations,0.38,0.62,0.003,0.997,medchoice,1,old,Female,-15,-70,-15,-70,3.049590136,8.354040938,0,-5.304450802,0,-5.7,-0.21,0,-5.49,1.702928256,0
55a28851fdf99b602e6b05dd,37,Fatigue,Hallucinations,0.38,0.62,0.003,0.997,monchoice,0,old,Female,-15,-70,-15,-70,3.04959,8.354041,0,-5.304451,1,-5.7,-0.21,0,-5.49,1.702928,1
55a28851fdf99b602e6b05dd,38,Insomnia,Slurred Speech,0.003,0.997,0.04,0.96,medchoice,1,old,Female,-10,-45,-10,-45,3.157530681,6.57267069,0,-3.415140009,0,-0.03,-1.8,1,1.77,0.570979547,1
55a28851fdf99b602e6b05dd,38,Insomnia,Slurred Speech,0.003,0.997,0.04,0.96,monchoice,1,old,Female,-10,-45,-10,-45,3.157531,6.572671,0,-3.41514,0,-0.03,-1.8,1,1.77,0.5709795,1
55a28851fdf99b602e6b05dd,39,Depression,Hallucinations,0.003,0.997,0.24,0.76,medchoice,1,old,Female,-35,-70,-35,-70,5.907198998,7.293833012,0,-1.386634014,0,-0.105,-16.8,1,16.695,2.815109273,1
55a28851fdf99b602e6b05dd,39,Depression,Hallucinations,0.003,0.997,0.24,0.76,monchoice,1,old,Female,-35,-70,-35,-70,5.907199,7.293833,0,-1.386634,0,-0.105,-16.8,1,16.695,2.815109,1
55a28851fdf99b602e6b05dd,40,Slurred Speech,Fatigue,0.035,0.965,0.001,0.999,medchoice,0,old,Female,-45,-15,-45,-15,6.589764791,3.87104637,1,2.718718421,0,-1.575,-0.015,0,-1.56,0.444685821,1
55a28851fdf99b602e6b05dd,40,Slurred Speech,Fatigue,0.035,0.965,0.001,0.999,monchoice,0,old,Female,-45,-15,-45,-15,6.589765,3.871046,1,2.718718,0,-1.575,-0.015,0,-1.56,0.4446858,1
55a28851fdf99b602e6b05dd,41,Itching,Slurred Speech,0.008,0.992,0.28,0.72,medchoice,1,old,Female,-7,-45,-7,-45,2.635147055,5.692099788,0,-3.056952734,0,-0.056,-12.6,1,12.544,2.529242464,1
55a28851fdf99b602e6b05dd,41,Itching,Slurred Speech,0.008,0.992,0.28,0.72,monchoice,1,old,Female,-7,-45,-7,-45,2.635147,5.6921,0,-3.056953,0,-0.056,-12.6,1,12.544,2.529242,1
55a28851fdf99b602e6b05dd,42,Slurred Speech,Itching,0.99,0.01,0.7,0.3,medchoice,0,old,Female,-45,-7,-45,-7,0.670820393,1.449137675,0,-0.778317281,1,-44.55,-4.9,0,-39.65,3.680090948,1
55a28851fdf99b602e6b05dd,42,Slurred Speech,Itching,0.99,0.01,0.7,0.3,monchoice,0,old,Female,-45,-7,-45,-7,0.6708204,1.449138,0,-0.7783173,1,-44.55,-4.9,0,-39.65,3.680091,1
55a28851fdf99b602e6b05dd,43,Tremor,Impaired Balance,0.33,0.67,0.82,0.18,medchoice,1,old,Female,-40,-50,-40,-50,5.176871642,3,1,2.176871642,1,-13.2,-41,1,27.8,3.325036021,1
55a28851fdf99b602e6b05dd,43,Tremor,Impaired Balance,0.33,0.67,0.82,0.18,monchoice,1,old,Female,-40,-50,-40,-50,5.176872,3,1,2.176872,1,-13.2,-41,1,27.8,3.325036,1
55a28851fdf99b602e6b05dd,44,Flatulence,Insomnia,0.6,0.4,0.5,0.5,medchoice,0,old,Female,-3,-10,-3,-10,1.095445115,2.236067977,0,-1.140622862,1,-1.8,-5,1,3.2,1.16315081,0
55a28851fdf99b602e6b05dd,44,Flatulence,Insomnia,0.6,0.4,0.5,0.5,monchoice,1,old,Female,-3,-10,-3,-10,1.095445,2.236068,0,-1.140623,0,-1.8,-5,1,3.2,1.163151,1
55abb1a5fdf99b501fab62e3,1,Hallucinations,Fatigue,0.5,0.5,0.97,0.03,medchoice,0,old,Male,-60,-12,-60,-12,5.477225575,0.6,1,4.877225575,0,-30,-11.64,0,-18.36,2.910174385,1
55abb1a5fdf99b501fab62e3,1,Hallucinations,Fatigue,0.5,0.5,0.97,0.03,monchoice,0,old,Male,-60,-12,-60,-12,5.477226,0.6,1,4.877226,0,-30,-11.64,0,-18.36,2.910174,1
55abb1a5fdf99b501fab62e3,2,Fatigue,Depression,0.98,0.02,0.35,0.65,medchoice,1,old,Male,-12,-30,-12,-30,0.489897949,4.415880433,0,-3.925982485,0,-11.76,-10.5,0,-1.26,0.231111721,0
55abb1a5fdf99b501fab62e3,2,Fatigue,Depression,0.98,0.02,0.35,0.65,monchoice,0,old,Male,-12,-30,-12,-30,0.4898979,4.41588,0,-3.925982,1,-11.76,-10.5,0,-1.26,0.2311117,1
55abb1a5fdf99b501fab62e3,3,Fatigue,Depression,0.98,0.02,0.55,0.45,medchoice,1,old,Male,-12,-30,-12,-30,0.489897949,3.674234614,0,-3.184336666,0,-11.76,-16.5,1,4.74,1.556037136,1
55abb1a5fdf99b501fab62e3,3,Fatigue,Depression,0.98,0.02,0.55,0.45,monchoice,1,old,Male,-12,-30,-12,-30,0.4898979,3.674235,0,-3.184337,0,-11.76,-16.5,1,4.74,1.556037,1
55abb1a5fdf99b501fab62e3,4,Itching,Insomnia,0.5,0.5,0.98,0.02,medchoice,1,old,Male,-2,-10,-2,-10,1,0.447213595,1,0.552786405,1,-1,-9.8,1,8.8,2.174751721,1
55abb1a5fdf99b501fab62e3,4,Itching,Insomnia,0.5,0.5,0.98,0.02,monchoice,1,old,Male,-2,-10,-2,-10,1,0.4472136,1,0.5527864,1,-1,-9.8,1,8.8,2.174752,1
55abb1a5fdf99b501fab62e3,5,Insomnia,Itching,0.98,0.02,0.7,0.3,medchoice,0,old,Male,-10,-2,-10,-2,0.447213595,0.774596669,0,-0.327383074,1,-9.8,-1.4,0,-8.4,2.128231706,1
55abb1a5fdf99b501fab62e3,5,Insomnia,Itching,0.98,0.02,0.7,0.3,monchoice,0,old,Male,-10,-2,-10,-2,0.4472136,0.7745967,0,-0.3273831,1,-9.8,-1.4,0,-8.4,2.128232,1
55abb1a5fdf99b501fab62e3,6,Memory Loss,Itching,0.45,0.55,0.98,0.02,medchoice,0,old,Male,-50,-2,-50,-2,5.244044241,0.2,1,5.044044241,0,-22.5,-1.96,0,-20.54,3.022374205,1
55abb1a5fdf99b501fab62e3,6,Memory Loss,Itching,0.45,0.55,0.98,0.02,monchoice,0,old,Male,-50,-2,-50,-2,5.244044,0.2,1,5.044044,0,-22.5,-1.96,0,-20.54,3.022374,1
55abb1a5fdf99b501fab62e3,7,Memory Loss,Itching,0.56,0.44,0.98,0.02,medchoice,0,old,Male,-50,-2,-50,-2,4.69041576,0.2,1,4.49041576,0,-28,-1.96,0,-26.04,3.259633817,1
55abb1a5fdf99b501fab62e3,7,Memory Loss,Itching,0.56,0.44,0.98,0.02,monchoice,0,old,Male,-50,-2,-50,-2,4.690416,0.2,1,4.490416,0,-28,-1.96,0,-26.04,3.259634,1
55abb1a5fdf99b501fab62e3,8,Slurred Speech,Diarrhea,0.93,0.07,0.6,0.4,medchoice,0,old,Male,-25,-15,-25,-15,1.322875656,2.449489743,0,-1.126614087,1,-23.25,-9,0,-14.25,2.656756907,1
55abb1a5fdf99b501fab62e3,8,Slurred Speech,Diarrhea,0.93,0.07,0.6,0.4,monchoice,0,old,Male,-25,-15,-25,-15,1.322876,2.44949,0,-1.126614,1,-23.25,-9,0,-14.25,2.656757,1
55abb1a5fdf99b501fab62e3,9,Itching,Fever,0.96,0.04,0.5,0.5,medchoice,0,old,Male,-2,-5,-2,-5,0.282842712,1.58113883,0,-1.298296118,1,-1.92,-2.5,1,0.58,-0.544727175,0
55abb1a5fdf99b501fab62e3,9,Itching,Fever,0.96,0.04,0.5,0.5,monchoice,1,old,Male,-2,-5,-2,-5,0.2828427,1.581139,0,-1.298296,0,-1.92,-2.5,1,0.58,-0.5447272,1
55abb1a5fdf99b501fab62e3,10,Fever,Itching,0.71,0.29,0.96,0.04,medchoice,0,old,Male,-5,-2,-5,-2,1.204159458,0.282842712,1,0.921316745,0,-3.55,-1.92,0,-1.63,0.488580015,1
55abb1a5fdf99b501fab62e3,10,Fever,Itching,0.71,0.29,0.96,0.04,monchoice,0,old,Male,-5,-2,-5,-2,1.204159,0.2828427,1,0.9213167,0,-3.55,-1.92,0,-1.63,0.48858,1
55abb1a5fdf99b501fab62e3,11,Depression,Diarrhea,0.19,0.81,0.98,0.02,medchoice,0,old,Male,-30,-15,-30,-15,4.929503018,0.547722558,1,4.38178046,0,-5.7,-14.7,1,9,2.197224577,0
55abb1a5fdf99b501fab62e3,11,Depression,Diarrhea,0.19,0.81,0.98,0.02,monchoice,1,old,Male,-30,-15,-30,-15,4.929503,0.5477226,1,4.38178,1,-5.7,-14.7,1,9,2.197225,1
55abb1a5fdf99b501fab62e3,12,Insomnia,Memory Loss,0.94,0.06,0.05,0.95,medchoice,1,old,Male,-10,-50,-10,-50,0.774596669,6.892024376,0,-6.117427707,0,-9.4,-2.5,0,-6.9,1.931521412,0
55abb1a5fdf99b501fab62e3,12,Insomnia,Memory Loss,0.94,0.06,0.05,0.95,monchoice,1,old,Male,-10,-50,-10,-50,0.7745967,6.892024,0,-6.117428,0,-9.4,-2.5,0,-6.9,1.931521,0
55abb1a5fdf99b501fab62e3,13,Insomnia,Memory Loss,0.99,0.01,0.25,0.75,medchoice,1,old,Male,-10,-50,-10,-50,0.316227766,6.123724357,0,-5.807496591,0,-9.9,-12.5,1,2.6,0.955511445,1
55abb1a5fdf99b501fab62e3,13,Insomnia,Memory Loss,0.99,0.01,0.25,0.75,monchoice,1,old,Male,-10,-50,-10,-50,0.3162278,6.123724,0,-5.807497,0,-9.9,-12.5,1,2.6,0.9555114,1
55abb1a5fdf99b501fab62e3,14,Diarrhea,Memory Loss,0.98,0.02,0.26,0.74,medchoice,1,old,Male,-15,-50,-15,-50,0.547722558,6.08276253,0,-5.535039973,0,-14.7,-13,0,-1.7,0.530628251,0
55abb1a5fdf99b501fab62e3,14,Diarrhea,Memory Loss,0.98,0.02,0.26,0.74,monchoice,1,old,Male,-15,-50,-15,-50,0.5477226,6.082763,0,-5.53504,0,-14.7,-13,0,-1.7,0.5306283,0
55abb1a5fdf99b501fab62e3,15,Insomnia,Slurred Speech,0.55,0.45,0.97,0.03,medchoice,1,old,Male,-10,-25,-10,-25,2.121320344,0.866025404,1,1.25529494,1,-5.5,-24.25,1,18.75,2.931193752,1
55abb1a5fdf99b501fab62e3,15,Insomnia,Slurred Speech,0.55,0.45,0.97,0.03,monchoice,1,old,Male,-10,-25,-10,-25,2.12132,0.8660254,1,1.255295,1,-5.5,-24.25,1,18.75,2.931194,1
